,Destination,Num_flights,Num_carriers,Hour_f,Price,Hour,stops,Date,Carrier,Flight_time_minutes
383,AMS,107,10,13,1111,13,2,05-21,Multiple Airlines,1060
384,AMS,107,10,8,1125,8,2,05-21,Aer Lingus,1135
385,AMS,107,10,10,1125,10,2,05-21,Aer Lingus,960
386,AMS,107,10,10,1125,10,2,05-21,Aer Lingus,1190
387,AMS,107,10,11,1125,11,2,05-21,Aer Lingus,1130
388,AMS,107,10,11,1125,11,2,05-21,Aer Lingus,900
389,AMS,107,10,13,1125,13,2,05-21,Aer Lingus,1270
390,AMS,107,10,22,1130,22,1,05-21,Turkish Airlines,1030
391,AMS,107,10,5,1140,5,2,05-21,Multiple Airlines,1270
392,AMS,107,10,11,473,11,2,05-22,Multiple Airlines,2386
393,AMS,107,10,17,605,17,2,05-22,Multiple Airlines,935
394,AMS,107,10,14,840,14,1,05-22,Multiple Airlines,875
395,AMS,107,10,17,571,17,2,05-22,Multiple Airlines,1195
396,AMS,107,10,18,579,18,2,05-22,Multiple Airlines,1217
397,AMS,107,10,17,586,17,2,05-22,Multiple Airlines,1110
398,AMS,107,10,18,613,18,2,05-22,Multiple Airlines,1027
399,AMS,107,10,19,891,19,2,05-22,Multiple Airlines,920
400,AMS,107,10,10,1020,10,2,05-22,Multiple Airlines,988
401,AMS,107,10,10,1026,10,2,05-22,Multiple Airlines,1218
402,AMS,107,10,10,1052,10,2,05-22,Multiple Airlines,1218
403,AMS,107,10,9,1070,9,2,05-22,SAS,1095
404,AMS,107,10,11,1070,11,2,05-22,SAS,960
405,AMS,107,10,11,1070,11,2,05-22,SAS,1230
406,AMS,107,10,16,1070,16,2,05-22,SAS,1085
407,AMS,107,10,18,723,18,2,05-23,Multiple Airlines,1027
408,AMS,107,10,16,1528,16,1,05-23,Lufthansa,670
409,AMS,107,10,14,1855,14,1,05-23,Lufthansa,665
410,AMS,107,10,15,2409,15,1,05-23,Air Canada,765
411,AMS,107,10,11,3080,11,1,05-23,United Airlines,810
412,AMS,107,10,15,3080,15,1,05-23,United Airlines,705
413,AMS,107,10,16,3110,16,1,05-23,Lufthansa,770
414,AMS,107,10,15,3186,15,0,05-23,Delta,517
415,AMS,107,10,17,3186,17,0,05-23,Delta,519
416,AMS,107,10,19,3186,19,0,05-23,Delta,530
417,AMS,107,10,22,3186,22,0,05-23,KLM,500
418,AMS,107,10,10,3191,10,1,05-23,Delta,780
419,AMS,107,10,24,3191,24,1,05-23,Delta,705
420,AMS,107,10,24,3191,24,1,05-23,Delta,705
421,AMS,107,10,24,3191,24,1,05-23,Delta,686
422,AMS,107,10,18,695,18,2,05-24,Multiple Airlines,817
423,AMS,107,10,10,695,10,2,05-24,Multiple Airlines,1273
424,AMS,107,10,18,695,18,2,05-24,Multiple Airlines,1032
425,AMS,107,10,19,984,19,2,05-24,Multiple Airlines,920
426,AMS,107,10,10,1060,10,2,05-24,Multiple Airlines,988
427,AMS,107,10,10,1098,10,2,05-24,Multiple Airlines,1233
428,AMS,107,10,16,1317,16,2,05-24,SAS,1150
429,AMS,107,10,10,1378,10,2,05-24,TAP AIR PORTUGAL,1238
430,AMS,107,10,22,1404,22,1,05-24,Turkish Airlines,1030
431,AMS,107,10,10,1481,10,2,05-24,Aer Lingus,960
432,AMS,107,10,11,1481,11,2,05-24,Aer Lingus,900
433,AMS,107,10,13,1517,13,2,05-24,Multiple Airlines,1075
434,AMS,107,10,16,1528,16,1,05-24,Lufthansa,1150
435,AMS,107,10,10,1610,10,2,05-24,Aer Lingus,1205
436,AMS,107,10,11,1610,11,2,05-24,Aer Lingus,1145
437,AMS,107,10,17,623,17,2,05-25,Multiple Airlines,1105
438,AMS,107,10,17,660,17,2,05-25,Multiple Airlines,945
439,AMS,107,10,19,919,19,2,05-25,Multiple Airlines,920
440,AMS,107,10,17,629,17,2,05-25,Multiple Airlines,1065
441,AMS,107,10,6,630,6,2,05-25,Multiple Airlines,1810
